channel_name,message_id,image_path,detected_class,confidence_score,image_category
CheMed123,27,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\27.jpg,none,0.0,other
CheMed123,29,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\29.jpg,person,0.6185,lifestyle
CheMed123,29,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\29.jpg,surfboard,0.5945,lifestyle
CheMed123,29,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\29.jpg,person,0.528,lifestyle
CheMed123,29,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\29.jpg,person,0.2782,lifestyle
CheMed123,3,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\3.jpg,none,0.0,other
CheMed123,30,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\30.jpg,person,0.4139,lifestyle
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.5125,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.4973,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.435,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.3881,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.388,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.3832,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.3769,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.3328,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.2786,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.2762,product_display
CheMed123,31,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\31.jpg,bottle,0.2743,product_display
CheMed123,32,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\32.jpg,person,0.5882,lifestyle
CheMed123,33,C:\Users\ekram\Documents\GitHub\medical-telegram-warehouse\data\raw\images\CheMed123\33.jpg,orange,0.6712,other
